ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
bsk,Burushaski (Eastern),,,,,
tci,Komnzo,,,,,
dzg,Tubu/Dazaga,,,,,
jup,Hup,,,,,
opm,Oksapmin,,,,,
sci,Sri Lanka Malay,,,,,
rap,Rapa Nui,,,,,
kor,Korean,,,,,
qub,Quechua (Huallaga),,,,,
ude,Udihe,,,,,
css,Mutsun,,,,,
agr,Aguaruna,,,,,
khv,Khwarshi,,,,,
gjr,Gurindji Kriol,,,,,
yuk,Yuki,,,,,
ikx,Ik,,,,,
rmt,Domari,,,,,
pes,Persian,,,,,
cbv,Kakua,,,,,
cng,Qiang,,,,,
ybh,Yakkha,,,,,
dhi,Dhimal,,,,,
she,Sheko,,,,,
esu,Yup'ik,,,,,
heb,Hebrew,,,,,
kxc,Konso,,,,,
mem,Mangarla,,,,,
