ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Usages,Type,Condition,Examples
jup-A_Marking_Type,jup,A_Marking_Type,none,,,,,,,
jup-A_Marking_Contrast,jup,A_Marking_Contrast,?,,,,,,,
jup-A_Local_or_Global,jup,A_Local_or_Global,?,,,,,,,
jup-A_Split_or_Fluid,jup,A_Split_or_Fluid,?,,,,,,,
jup-A_TAM_DM,jup,A_TAM_DM,?,,,,,,,
jup-A_WO_DM,jup,A_WO_DM,?,,,,,,,
jup-A_Other_DM,jup,A_Other_DM,?,,,,,,,
jup-A_Animacy_Scale,jup,A_Animacy_Scale,?,,,,,,,
jup-A_Pronom_Scale,jup,A_Pronom_Scale,?,,,,,,,
jup-A_Def_Scale,jup,A_Def_Scale,?,,,,,,,
jup-A_Person_Scale,jup,A_Person_Scale,?,,,,,,,
jup-P_Marking_Type,jup,P_Marking_Type,differential,,,,,,,
jup-P_Marking_Contrast,jup,P_Marking_Contrast,zero_nonzero,,,,,,,
jup-P_Local_or_Global,jup,P_Local_or_Global,local,,,,,,,
jup-P_Split_or_Fluid,jup,P_Split_or_Fluid,split-fluid,,,,,,,
jup-P_TAM_DM,jup,P_TAM_DM,no,,,,,,,
jup-P_WO_DM,jup,P_WO_DM,no,,,,,,,
jup-P_Other_DM,jup,P_Other_DM,no,,,,,,,
jup-P_Animacy_Scale,jup,P_Animacy_Scale,fit,,,,,,,
jup-P_Pronom_Scale,jup,P_Pronom_Scale,fit,,,,,,,
jup-P_Def_Scale,jup,P_Def_Scale,fit,,,,,,,
jup-P_Person_Scale,jup,P_Person_Scale,none,,,,,,,
she-A_Marking_Type,she,A_Marking_Type,none,,,,,,,
she-A_Marking_Contrast,she,A_Marking_Contrast,?,,,,,,,
she-A_Local_or_Global,she,A_Local_or_Global,?,,,,,,,
she-A_Split_or_Fluid,she,A_Split_or_Fluid,?,,,,,,,
she-A_TAM_DM,she,A_TAM_DM,?,,,,,,,
she-A_WO_DM,she,A_WO_DM,?,,,,,,,
she-A_Other_DM,she,A_Other_DM,?,,,,,,,
she-A_Animacy_Scale,she,A_Animacy_Scale,?,,,,,,,
she-A_Pronom_Scale,she,A_Pronom_Scale,?,,,,,,,
she-A_Def_Scale,she,A_Def_Scale,?,,,,,,,
she-A_Person_Scale,she,A_Person_Scale,?,,,,,,,
she-P_Marking_Type,she,P_Marking_Type,differential,,,,,,,
she-P_Marking_Contrast,she,P_Marking_Contrast,zero_nonzero,,,,,,,
she-P_Local_or_Global,she,P_Local_or_Global,local,,,,,,,
she-P_Split_or_Fluid,she,P_Split_or_Fluid,split-fluid,,,,,,,
she-P_TAM_DM,she,P_TAM_DM,no,,,,,,,
she-P_WO_DM,she,P_WO_DM,yes,,,,,,,
she-P_Other_DM,she,P_Other_DM,no,,,,,,,
she-P_Animacy_Scale,she,P_Animacy_Scale,none,,,,,,,
she-P_Pronom_Scale,she,P_Pronom_Scale,none,,,,,,,
she-P_Def_Scale,she,P_Def_Scale,fit,,,,,,,
she-P_Person_Scale,she,P_Person_Scale,none,,,,,,,
khv-A_Marking_Type,khv,A_Marking_Type,differential,,,,,,,
khv-A_Marking_Contrast,khv,A_Marking_Contrast,zero_nonzero,,,,,,,
khv-A_Local_or_Global,khv,A_Local_or_Global,local,,,,,,,
khv-A_Split_or_Fluid,khv,A_Split_or_Fluid,split,,,,,,,
khv-A_TAM_DM,khv,A_TAM_DM,no,,,,,,,
khv-A_WO_DM,khv,A_WO_DM,no,,,,,,,
khv-A_Other_DM,khv,A_Other_DM,no,,,,,,,
khv-A_Animacy_Scale,khv,A_Animacy_Scale,none,,,,,,,
khv-A_Pronom_Scale,khv,A_Pronom_Scale,fit,,,,,,,
khv-A_Def_Scale,khv,A_Def_Scale,none,,,,,,,
khv-A_Person_Scale,khv,A_Person_Scale,none,,,,,,,
khv-P_Marking_Type,khv,P_Marking_Type,none,,,,,,,
khv-P_Marking_Contrast,khv,P_Marking_Contrast,?,,,,,,,
khv-P_Local_or_Global,khv,P_Local_or_Global,?,,,,,,,
khv-P_Split_or_Fluid,khv,P_Split_or_Fluid,?,,,,,,,
khv-P_TAM_DM,khv,P_TAM_DM,?,,,,,,,
khv-P_WO_DM,khv,P_WO_DM,?,,,,,,,
khv-P_Other_DM,khv,P_Other_DM,?,,,,,,,
khv-P_Animacy_Scale,khv,P_Animacy_Scale,?,,,,,,,
khv-P_Pronom_Scale,khv,P_Pronom_Scale,?,,,,,,,
khv-P_Def_Scale,khv,P_Def_Scale,?,,,,,,,
khv-P_Person_Scale,khv,P_Person_Scale,?,,,,,,,
rmt-A_Marking_Type,rmt,A_Marking_Type,none,,,,,,,
rmt-A_Marking_Contrast,rmt,A_Marking_Contrast,?,,,,,,,
rmt-A_Local_or_Global,rmt,A_Local_or_Global,?,,,,,,,
rmt-A_Split_or_Fluid,rmt,A_Split_or_Fluid,?,,,,,,,
rmt-A_TAM_DM,rmt,A_TAM_DM,?,,,,,,,
rmt-A_WO_DM,rmt,A_WO_DM,?,,,,,,,
rmt-A_Other_DM,rmt,A_Other_DM,?,,,,,,,
rmt-A_Animacy_Scale,rmt,A_Animacy_Scale,?,,,,,,,
rmt-A_Pronom_Scale,rmt,A_Pronom_Scale,?,,,,,,,
rmt-A_Def_Scale,rmt,A_Def_Scale,?,,,,,,,
rmt-A_Person_Scale,rmt,A_Person_Scale,?,,,,,,,
